0	27	751
0	46	622
0	57	896
0	136	5
0	152	796
0	158	347
0	239	665
0	253	745
0	264	721
0	266	558
0	295	157
0	343	794
0	413	861
0	427	248
0	445	116
0	495	604
0	528	1000
0	542	101
0	564	673
0	572	735
0	612	236
0	623	5
0	641	221
0	662	282
0	665	120
0	708	878
0	710	198
0	757	477
0	816	810
0	818	579
0	840	507
0	842	536
0	843	617
0	955	619
0	991	666
1	25	458
1	59	95
1	112	262
1	136	620
1	142	283
1	145	659
1	172	250
1	185	906
1	187	973
1	222	615
1	299	321
1	328	575
1	346	241
1	431	891
1	434	198
1	469	712
1	474	926
1	513	919
1	521	92
1	531	801
1	544	669
1	557	887
1	565	607
1	580	98
1	584	630
1	620	124
1	666	450
1	667	723
1	678	613
1	742	452
1	744	729
1	776	327
1	784	48
1	834	470
1	837	918
1	864	263
1	893	38
1	896	868
1	949	444
2	13	535
2	49	699
2	58	921
2	147	130
2	157	330
2	189	166
2	197	171
2	239	184
2	243	306
2	325	139
2	389	743
2	436	396
2	464	794
2	506	882
2	518	602
2	538	807
2	552	750
2	559	868
2	572	280
2	585	960
2	597	360
2	615	710
2	625	827
2	627	607
2	631	821
2	642	531
2	732	319
2	768	577
2	772	329
2	792	331
2	803	602
2	832	731
2	863	678
2	876	547
2	905	808
2	932	502
2	949	27
2	977	768
3	9	567
3	15	748
3	20	16
3	50	328
3	98	283
3	214	501
3	219	918
3	231	342
3	271	696
3	282	948
3	350	544
3	363	115
3	397	877
3	413	918
3	417	5
3	448	566
3	474	122
3	480	710
3	481	622
3	500	529
3	501	102
3	513	882
3	524	527
3	539	905
3	544	555
3	545	542
3	558	377
3	571	871
3	573	269
3	599	92
3	604	409
3	605	249
3	608	894
3	655	766
3	662	309
3	668	99
3	745	933
3	756	297
3	765	99
3	766	863
3	837	48
3	887	588
3	890	480
3	899	648
3	910	74
3	918	999
3	921	221
3	943	812
3	947	444
3	980	874
4	81	208
4	111	521
4	142	396
4	173	78
4	190	775
4	221	342
4	228	946
4	295	270
4	444	115
4	453	370
4	457	519
4	458	478
4	466	403
4	481	120
4	493	463
4	499	588
4	550	324
4	604	414
4	662	3
4	818	209
4	829	907
4	899	443
4	908	566
4	925	695
4	931	696
5	15	879
5	24	489
5	32	537
5	51	175
5	100	706
5	114	51
5	137	141
5	150	974
5	151	561
5	152	702
5	166	120
5	168	996
5	174	901
5	202	241
5	213	362
5	236	657
5	238	312
5	250	379
5	271	211
5	301	947
5	442	224
5	472	286
5	548	6
5	552	912
5	612	136
5	682	52
5	683	383
5	692	501
5	693	708
5	698	130
5	702	399
5	718	808
5	734	785
5	737	8
5	761	937
5	833	807
5	850	711
5	856	483
5	924	974
5	952	886
5	984	713
5	995	714
5	998	434
6	73	574
6	114	655
6	159	31
6	183	680
6	216	280
6	288	695
6	300	495
6	318	109
6	333	373
6	334	120
6	372	22
6	398	319
6	494	598
6	511	507
6	518	70
6	530	688
6	549	424
6	569	904
6	574	351
6	632	634
6	670	472
6	702	936
6	780	335
6	784	985
6	951	212
7	30	719
7	71	689
7	86	362
7	95	147
7	100	572
7	101	380
7	121	251
7	127	474
7	134	177
7	171	611
7	174	139
7	225	164
7	302	285
7	311	480
7	314	785
7	391	109
7	411	332
7	451	201
7	456	797
7	466	369
7	475	474
7	513	11
7	526	545
7	529	525
7	558	59
7	573	920
7	592	157
7	624	540
7	645	454
7	648	378
7	807	159
7	915	794
7	929	498
7	941	129
7	984	864
7	998	359
8	11	594
8	35	301
8	44	79
8	74	949
8	78	537
8	93	754
8	99	164
8	112	342
8	114	416
8	222	846
8	235	43
8	269	715
8	279	740
8	327	510
8	370	33
8	416	858
8	423	366
8	438	235
8	497	356
8	525	612
8	532	262
8	589	143
8	625	270
8	645	15
8	660	923
8	739	142
8	792	585
8	815	981
8	838	207
8	846	570
8	852	821
8	868	432
8	886	625
8	906	780
8	918	690
8	945	944
8	975	570
8	988	996
8	994	438
9	43	632
9	108	291
9	109	925
9	119	736
9	139	539
9	144	689
9	164	755
9	173	259
9	251	395
9	262	771
9	402	960
9	410	12
9	422	181
9	554	127
9	567	235
9	569	839
9	570	710
9	574	991
9	605	565
9	667	414
9	690	502
9	701	829
9	738	804
9	741	443
9	750	614
9	793	133
9	797	988
9	798	942
9	807	635
9	812	316
9	819	909
9	827	449
9	884	461
10	88	133
10	129	447
10	148	524
10	170	404
10	185	249
10	210	812
10	215	4
10	216	874
10	241	374
10	246	167
10	269	582
10	274	689
10	285	857
10	313	450
10	341	34
10	364	131
10	369	881
10	394	692
10	449	205
10	455	849
10	476	214
10	491	329
10	507	266
10	549	276
10	577	879
10	586	142
10	588	963
10	589	748
10	590	730
10	659	408
10	682	785
10	693	671
10	714	175
10	716	647
10	718	468
10	781	284
10	786	800
10	792	687
10	902	656
10	954	992
10	982	442
10	993	796
10	998	785
11	31	398
11	38	118
11	68	329
11	71	990
11	113	65
11	117	196
11	123	245
11	140	55
11	154	823
11	159	786
11	175	545
11	183	108
11	187	799
11	214	121
11	225	674
11	238	449
11	251	258
11	305	518
11	319	524
11	335	626
11	368	723
11	372	563
11	384	118
11	421	318
11	430	859
11	465	904
11	510	135
11	520	115
11	552	352
11	582	136
11	586	646
11	636	223
11	710	237
11	721	775
11	722	948
11	761	361
11	763	597
11	788	920
11	800	90
11	807	169
11	913	803
11	916	858
11	941	953
12	97	909
12	102	142
12	182	601
12	183	14
